City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
6,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Waingapu,ID,78.28,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
13,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
15,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,Tanna Lodge
18,Cape Town,ZA,68.34,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
19,Hobyo,SO,77.11,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
20,Port Alfred,ZA,70.25,scattered clouds,-33.5906,26.891,The Halyards Hotel
22,Ponca City,US,67.1,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
24,Cidreira,BR,74.52,broken clouds,-30.1811,-50.2056,Hotel Castelo
30,Port Elizabeth,ZA,68.29,overcast clouds,-33.918,25.5701,39 On Nile Guest House
33,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
35,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
36,Wewak,PG,77.14,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
37,Isabela,PH,77.88,overcast clouds,6.7085,121.9711,Isawad Resort
40,Vaini,TO,81.45,light rain,-21.2,-175.2,Keleti Beach Resort
41,Atuona,PF,77.74,light rain,-9.8,-139.0333,Villa Enata
46,Esperance,AU,65.07,clear sky,-33.8667,121.9,Hospitality Esperance
53,Itarema,BR,81.75,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
57,Lorengau,PG,80.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Hithadhoo,MV,81.05,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
71,Xapuri,BR,84.85,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
74,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Atambua,ID,73.99,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
80,Palizada,MX,69.78,overcast clouds,18.25,-92.0833,Hotel San Joaquín Palizada
83,Laguna De Perlas,NI,80.69,clear sky,12.3429,-83.6712,Hotel Best View
91,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
92,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Sinnamary,GF,80.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
95,Si Racha,TH,83.98,scattered clouds,13.1737,100.9311,Cape Racha Hotel & Serviced Apartments
97,Ngunut,ID,76.46,overcast clouds,-8.1058,112.0159,JON MALAKAM
100,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
102,Daru,PG,78.33,heavy intensity rain,-9.0763,143.2092,Daru Lodge
103,Chuy,UY,75.65,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
104,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
105,Morant Bay,JM,84.61,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
107,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
108,San Jose,US,65.1,scattered clouds,37.3394,-121.895,The Westin San Jose
112,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
113,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
114,Bredasdorp,ZA,65.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
116,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
119,Guerrero Negro,MX,71.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
120,Mattru,SL,79.11,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
121,Juba,SS,80.64,few clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
122,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
123,Baramati,IN,65.3,clear sky,18.15,74.5833,OYO 43302 Hotel Sargam
128,Dong Hoi,VN,72.45,overcast clouds,17.4833,106.6,Nam Long Hotel
129,Rocha,UY,77.54,clear sky,-34.4833,-54.3333,Hotel Arrarte
130,East London,ZA,71.87,broken clouds,-33.0153,27.9116,Tu Casa
133,Harper,LR,80.15,broken clouds,4.375,-7.7169,Screensaver
134,Arlit,NE,65.52,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
135,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
136,Kisangani,CD,73.31,clear sky,0.5167,25.2,Grand Ramela Hotel
137,Kenitra,MA,65.73,broken clouds,34.261,-6.5802,Bienvenue chez vous
138,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
140,Kruisfontein,ZA,65.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
141,Mar Del Plata,AR,84.22,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
142,Marigot,MF,83.98,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
145,Brasilia De Minas,BR,75.94,overcast clouds,-16.2064,-44.4333,Hotel Neris
146,Sola,VU,82.96,overcast clouds,-13.8833,167.55,Leumerus Bungalows
147,Chimore,BO,77.95,overcast clouds,-16.9833,-65.1333,Bichito
148,Valvedditturai,LK,77.86,scattered clouds,9.8167,80.1667,Kanahathy Vadali
152,Saint-Leu,RE,79.66,broken clouds,-21.15,55.2833,La Caz Oceane
155,Kudahuvadhoo,MV,81.43,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
156,Pekan,MY,75.31,broken clouds,3.4836,103.3996,Pekan Budget Hotel
157,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
159,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
161,Buala,SB,80.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
163,Faanui,PF,79.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
164,Kieta,PG,78.93,light rain,-6.2167,155.6333,Uruna Bay Retreat
168,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
169,Madanapalle,IN,68.67,overcast clouds,13.55,78.5,Prithvi Lodge
173,Poum,NC,80.89,scattered clouds,-20.2333,164.0167,Gîte kajeon
174,Sancti Spiritus,CU,68.13,broken clouds,21.9297,-79.4425,Hostal El Parque
175,Kavaratti,IN,80.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
177,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
178,Sao Miguel Do Araguaia,BR,78.03,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
179,Caravelas,BR,82.29,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
187,Vanimo,PG,75.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
207,Angoche,MZ,77.99,overcast clouds,-16.2325,39.9086,Guest House HESADA
211,San Carlos De Bariloche,AR,77.45,clear sky,-41.1456,-71.3082,Hotel Patagonia
212,Koumac,NC,80.1,scattered clouds,-20.5667,164.2833,Le Monitel
214,Antofagasta,CL,72.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
215,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
219,Ancud,CL,69.33,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
224,Kilinochchi,LK,75.58,few clouds,9.3961,80.3982,Solaivanam Guest House
227,Gurupa,BR,73.09,overcast clouds,-1.405,-51.64,Hotel Vitória
236,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
