City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,93,75,25.32,moderate rain
1,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,87,42,13.4,scattered clouds
2,Saskylakh,RU,71.9167,114.0833,-22.13,99,99,3.42,overcast clouds
3,Jamestown,US,42.097,-79.2353,17.29,49,0,8.01,clear sky
4,Mataura,NZ,-46.1927,168.8643,56.55,95,100,1.83,light rain
5,Lata,PT,40.1629,-8.3327,48.06,51,0,5.06,clear sky
6,Hermanus,ZA,-34.4187,19.2345,65.8,75,2,14.29,clear sky
7,Rikitea,PF,-23.1203,-134.9692,77.32,74,100,11.43,overcast clouds
8,Pevek,RU,69.7008,170.3133,-16.67,99,93,2.82,overcast clouds
9,Broome,US,42.2506,-75.833,14.22,55,0,10.0,clear sky
10,Waingapu,ID,-9.6567,120.2641,78.28,86,100,7.27,overcast clouds
11,Kaitangata,NZ,-46.2817,169.8464,55.89,94,100,4.43,light rain
12,Zhigalovo,RU,54.8097,105.1578,-18.51,100,100,0.72,overcast clouds
13,Busselton,AU,-33.65,115.3333,67.05,91,2,15.19,clear sky
14,Iqaluit,CA,63.7506,-68.5145,-7.87,59,100,9.22,light snow
15,Puerto Ayora,EC,-0.7393,-90.3518,80.56,70,22,9.86,few clouds
16,Moron,AR,-34.6534,-58.6198,85.95,51,40,8.61,scattered clouds
17,Isangel,VU,-19.55,169.2667,77.11,94,100,10.36,heavy intensity rain
18,Cape Town,ZA,-33.9258,18.4232,68.34,73,0,5.99,clear sky
19,Hobyo,SO,5.3505,48.5268,77.11,77,19,24.34,few clouds
20,Port Alfred,ZA,-33.5906,26.891,70.25,80,46,12.55,scattered clouds
21,Odweyne,SO,9.4092,45.064,63.68,41,98,8.99,overcast clouds
22,Ponca City,US,36.707,-97.0856,67.1,20,0,12.66,clear sky
23,Hihya,EG,30.6713,31.588,58.08,81,43,1.03,scattered clouds
24,Cidreira,BR,-30.1811,-50.2056,74.52,56,78,13.35,broken clouds
25,Nikolskoye,RU,59.7035,30.7861,26.87,87,100,14.23,light snow
26,Novoagansk,RU,61.9449,76.6625,-3.53,99,100,4.81,overcast clouds
27,Nadym,RU,65.5333,72.5167,-7.47,95,100,8.77,overcast clouds
28,Kodiak,US,57.79,-152.4072,33.31,60,0,25.32,clear sky
29,Ilulissat,GL,69.2167,-51.1,12.22,57,75,19.57,broken clouds
30,Port Elizabeth,ZA,-33.918,25.5701,68.29,83,100,10.36,overcast clouds
31,Albany,US,42.6001,-73.9662,17.15,63,100,8.99,overcast clouds
32,Fortuna,US,40.5982,-124.1573,61.93,53,0,7.0,clear sky
33,Yulara,AU,-25.2406,130.9889,80.44,65,100,16.11,overcast clouds
34,Barrow,US,71.2906,-156.7887,-7.58,71,100,12.66,overcast clouds
35,Georgetown,MY,5.4112,100.3354,83.89,86,20,3.44,few clouds
36,Wewak,PG,-3.5534,143.6268,77.14,88,99,6.8,light rain
37,Isabela,PH,6.7085,121.9711,77.88,86,100,3.94,overcast clouds
38,Jalu,LY,29.0331,21.5482,53.56,40,0,9.8,clear sky
39,Palo Negro,VE,10.1739,-67.5419,89.49,38,60,10.45,broken clouds
40,Vaini,TO,-21.2,-175.2,81.45,78,100,17.02,light rain
41,Atuona,PF,-9.8,-139.0333,77.74,76,25,15.5,light rain
42,Khatanga,RU,71.9667,102.5,-4.59,99,100,5.23,overcast clouds
43,Puerto Del Rosario,ES,28.5004,-13.8627,64.08,77,0,4.61,haze
44,Honningsvag,NO,70.9821,25.9704,20.73,73,92,11.99,light snow
45,Ashcroft,CA,50.7165,-121.2859,35.94,88,100,3.24,overcast clouds
46,Esperance,AU,-33.8667,121.9,65.07,78,0,14.38,clear sky
47,Bluff,NZ,-46.6,168.3333,57.96,89,100,6.62,overcast clouds
48,Upernavik,GL,72.7868,-56.1549,1.89,93,100,5.35,overcast clouds
49,Brenham,US,30.1669,-96.3977,64.65,26,0,6.91,clear sky
50,Harrisonville,US,38.6533,-94.3488,55.6,32,0,9.22,clear sky
51,North Bend,US,43.4065,-124.2243,57.16,59,10,3.56,clear sky
52,Grindavik,IS,63.8424,-22.4338,36.07,80,75,16.11,broken clouds
53,Itarema,BR,-2.9248,-39.9167,81.75,65,94,10.36,overcast clouds
54,Fuling,CN,29.7022,107.3919,39.9,92,38,2.95,scattered clouds
55,Dongsheng,CN,39.8161,109.9776,18.84,58,95,11.34,overcast clouds
56,Lebu,CL,-37.6167,-73.65,64.96,74,2,9.64,clear sky
57,Lorengau,PG,-2.0226,147.2712,80.15,81,98,7.65,overcast clouds
58,Souillac,MU,-20.5167,57.5167,80.98,78,40,9.22,scattered clouds
59,Hasaki,JP,35.7333,140.8333,28.8,70,53,15.93,broken clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,14.97,light snow
61,Hithadhoo,MV,-0.6,73.0833,81.05,66,94,2.51,overcast clouds
62,Makakilo City,US,21.3469,-158.0858,79.12,58,0,11.5,clear sky
63,Hobart,AU,-42.8794,147.3294,60.66,75,100,3.0,overcast clouds
64,Qaanaaq,GL,77.484,-69.3632,-2.47,64,100,9.69,overcast clouds
65,Bethel,US,41.3712,-73.414,17.76,69,100,5.99,overcast clouds
66,Hovd,MN,48.0056,91.6419,-13.02,72,13,3.09,few clouds
67,Kautokeino,NO,69.0125,23.0412,2.14,97,99,5.39,overcast clouds
68,General Roca,AR,-39.0333,-67.5833,95.4,10,0,18.48,clear sky
69,Derbent,RU,42.0678,48.2899,38.46,76,21,3.67,few clouds
70,Nanortalik,GL,60.1432,-45.2371,19.49,68,100,12.15,light snow
71,Xapuri,BR,-10.6517,-68.5044,84.85,96,100,4.21,overcast clouds
72,Amalapuram,IN,16.5833,82.0167,64.67,93,5,1.12,clear sky
73,Hami,CN,42.8,93.45,20.48,46,0,4.85,clear sky
74,Butaritari,KI,3.0707,172.7902,81.7,77,25,19.64,light rain
75,Airai,TL,-8.9266,125.4092,60.64,93,100,3.42,overcast clouds
76,Atambua,ID,-9.1061,124.8925,73.99,91,100,4.85,overcast clouds
77,Bagdarin,RU,54.4333,113.6,-15.34,95,10,4.09,clear sky
78,Pangnirtung,CA,66.1451,-65.7125,-16.6,69,100,2.3,light snow
79,Drumheller,CA,51.4617,-112.7101,27.73,81,100,3.69,overcast clouds
80,Palizada,MX,18.25,-92.0833,69.78,91,100,6.58,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,60.3,68,23,1.01,few clouds
82,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,75,52,8.68,broken clouds
83,Laguna De Perlas,NI,12.3429,-83.6712,80.69,63,7,16.28,clear sky
84,Chokurdakh,RU,70.6333,147.9167,-12.98,86,100,1.5,overcast clouds
85,Huaiyin,CN,33.5886,119.0192,33.03,58,100,4.74,overcast clouds
86,Castro,BR,-24.7911,-50.0119,60.46,98,100,5.75,overcast clouds
87,Ribeira Grande,PT,38.5167,-28.7,59.4,63,20,10.36,few clouds
88,Thompson,CA,55.7435,-97.8558,-0.24,71,40,5.75,scattered clouds
89,Oranjestad,AW,12.524,-70.027,85.95,54,40,11.5,scattered clouds
90,Necochea,AR,-38.5473,-58.7368,90.03,37,1,15.77,clear sky
91,Avarua,CK,-21.2078,-159.775,82.45,78,20,11.5,few clouds
92,Mahebourg,MU,-20.4081,57.7,80.89,78,40,9.22,scattered clouds
93,Punta Arenas,CL,-53.15,-70.9167,53.71,43,75,24.16,broken clouds
94,Sinnamary,GF,5.3833,-52.95,80.17,74,74,7.99,broken clouds
95,Si Racha,TH,13.1737,100.9311,83.98,82,47,8.5,scattered clouds
96,Sikonge,TZ,-5.6333,32.7667,64.9,91,100,2.82,overcast clouds
97,Ngunut,ID,-8.1058,112.0159,76.46,90,100,2.75,overcast clouds
98,Jinxiang,CN,27.4327,120.6062,45.07,87,100,9.82,light rain
99,Santa Cruz,BO,-17.8,-63.1667,94.46,33,40,9.22,scattered clouds
100,Hilo,US,19.7297,-155.09,78.53,60,100,3.44,overcast clouds
101,Harnosand,SE,62.6323,17.9379,32.02,99,100,16.75,snow
102,Daru,PG,-9.0763,143.2092,78.33,85,100,10.85,heavy intensity rain
103,Chuy,UY,-33.6971,-53.4616,75.65,57,19,11.23,few clouds
104,Alofi,NU,-19.0595,-169.9187,82.29,83,75,6.91,broken clouds
105,Morant Bay,JM,17.8815,-76.4093,84.61,72,33,0.85,scattered clouds
