City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,1/23/2022 21:31,-54.8,-68.3,55.06,58,75,24.16
1,Narsaq,GL,1/23/2022 21:35,60.9167,-46.05,23.22,71,100,11.01
2,Tuktoyaktuk,CA,1/23/2022 21:35,69.4541,-133.0374,3.2,85,75,8.05
3,Chernogorsk,RU,1/23/2022 21:35,53.8236,91.2842,-11.47,76,40,0
4,Lebu,CL,1/23/2022 21:31,-37.6167,-73.65,63.72,76,1,10.36
5,Beringovskiy,RU,1/23/2022 21:35,63.05,179.3167,-18.49,97,82,5.21
6,Airai,TL,1/23/2022 21:35,-8.9266,125.4092,61.29,87,100,2.73
7,Avarua,CK,1/23/2022 21:35,-21.2078,-159.775,80.65,89,75,13.8
8,Pangnirtung,CA,1/23/2022 21:35,66.1451,-65.7125,-4,59,75,3.44
9,Uddevalla,SE,1/23/2022 21:35,58.3478,11.9424,43.14,99,57,8.01
10,Provideniya,RU,1/23/2022 21:35,64.3833,-173.3,10.51,85,100,6.71
11,Morada Nova,BR,1/23/2022 21:35,-5.1067,-38.3725,82.47,60,6,10.36
12,Kapaa,US,1/23/2022 21:35,22.0752,-159.319,78.78,75,75,4
13,Qaanaaq,GL,1/23/2022 21:35,77.484,-69.3632,-4.67,75,100,3.94
14,Maniwaki,CA,1/23/2022 21:35,46.3834,-75.966,3.74,51,96,4.61
15,Shimoda,JP,1/23/2022 21:35,34.6667,138.95,40.1,82,100,16.22
16,Talnakh,RU,1/23/2022 21:35,69.4865,88.3972,-4.59,100,100,4.97
17,Hun,LY,1/23/2022 21:35,29.1268,15.9477,49.08,61,1,2.82
18,Bluff,NZ,1/23/2022 21:35,-46.6,168.3333,57.79,58,77,0.2
19,Bengkulu,ID,1/23/2022 21:35,-3.8004,102.2655,75.06,89,75,4
20,Atuona,PF,1/23/2022 21:35,-9.8,-139.0333,78.66,76,18,18.68
21,Busselton,AU,1/23/2022 21:35,-33.65,115.3333,64.09,72,53,15.68
22,Namibe,AO,1/23/2022 21:35,-15.1961,12.1522,74.97,86,92,7.94
23,Taperoa,BR,1/23/2022 21:35,-7.2075,-36.8267,82.56,46,77,10.65
24,Atar,MR,1/23/2022 21:35,20.5169,-13.0499,74.66,18,98,7.54
25,Hervey Bay,AU,1/23/2022 21:35,-25.2986,152.8535,75.04,85,88,5.99
26,Rikitea,PF,1/23/2022 21:34,-23.1203,-134.9692,78.51,71,98,15.43
27,Alto Araguaia,BR,1/23/2022 21:35,-17.3147,-53.2153,77.61,75,89,4.09
28,Topolobampo,MX,1/23/2022 21:35,25.6,-109.05,77.05,49,100,0
29,Shitanjing,CN,1/23/2022 21:35,39.2342,106.3439,22.44,59,71,4.41
30,New Norfolk,AU,1/23/2022 21:35,-42.7826,147.0587,68.67,68,96,1.01
31,La Ronge,CA,1/23/2022 21:35,55.1001,-105.2842,1.65,66,40,5.75
32,Idaho Falls,US,1/23/2022 21:35,43.4666,-112.0341,21.63,91,100,3.44
33,Rostovka,RU,1/23/2022 21:35,55.3842,71.8891,-11.43,100,81,4.14
34,Matara,LK,1/23/2022 21:35,5.9485,80.5353,72.46,89,100,3.74
35,Topeka,US,1/23/2022 21:32,39.0483,-95.678,50.74,51,100,3.44
36,Bandarbeyla,SO,1/23/2022 21:35,9.4942,50.8122,74.5,70,4,18.19
37,Turka,UA,1/23/2022 21:35,49.1541,23.0297,17.26,98,100,3.96
38,Mataura,NZ,1/23/2022 21:35,-46.1927,168.8643,57.47,50,51,1.32
39,Saint-Philippe,RE,1/23/2022 21:35,-21.3585,55.7679,80.19,82,36,8.05
40,Poya,NC,1/23/2022 21:35,-21.35,165.15,82.22,68,37,2.98
41,Chokurdakh,RU,1/23/2022 21:35,70.6333,147.9167,-19.52,99,100,6.4
42,Paratinga,BR,1/23/2022 21:35,-12.6906,-43.1842,76.96,71,78,3.2
43,Ulaangom,MN,1/23/2022 21:36,49.9811,92.0667,-13.13,80,61,3.89
44,Camabatela,AO,1/23/2022 21:36,-8.1881,15.375,62.13,81,40,1.95
45,Kalakamati,BW,1/23/2022 21:36,-20.5929,27.3121,62.74,73,30,8.97
46,Albany,US,1/23/2022 21:32,42.6001,-73.9662,29.26,67,100,1.9
47,Hithadhoo,MV,1/23/2022 21:37,-0.6,73.0833,81.99,67,38,16.31
48,Ostrovnoy,RU,1/23/2022 21:37,68.0531,39.5131,29.43,94,100,33.06
49,Pisco,PE,1/23/2022 21:37,-13.7,-76.2167,78.85,61,0,11.5
50,Haines Junction,CA,1/23/2022 21:37,60.7522,-137.5108,30.15,69,94,1.14
51,Port Hawkesbury,CA,1/23/2022 21:37,45.6169,-61.3485,30.18,73,75,4
52,Northam,GB,1/23/2022 21:37,51.0333,-4.2167,43.3,87,9,7.7
53,Penarroya-Pueblonuevo,ES,1/23/2022 21:37,38.3,-5.2667,45.45,83,31,4.47
54,Butaritari,KI,1/23/2022 21:37,3.0707,172.7902,81.91,80,98,18.1
55,Namie,JP,1/23/2022 21:37,37.4833,141,40.96,65,100,12.28
56,Saint George,US,1/23/2022 21:32,37.1041,-113.5841,57.67,32,0,1.99
57,Verkhoyansk,RU,1/23/2022 21:37,67.5447,133.385,-16.24,98,100,1.95
58,Nabha,IN,1/23/2022 21:37,30.3747,76.1486,45.93,94,2,2.24
59,Walvis Bay,NA,1/23/2022 21:37,-22.9575,14.5053,83.35,51,65,10.36
60,Saint Anthony,US,1/23/2022 21:37,45.0205,-93.218,7.88,62,20,4
61,Port Lincoln,AU,1/23/2022 21:37,-34.7333,135.8667,69.73,92,72,8.72
62,Puerto Ayora,EC,1/23/2022 21:37,-0.7393,-90.3518,84.16,82,100,9.93
63,Manadhoo,MV,1/23/2022 21:37,5.7667,73.3833,81.14,60,92,10.11
64,Hobart,AU,1/23/2022 21:37,-42.8794,147.3294,69.03,82,75,5.75
65,Punta Arenas,CL,1/23/2022 21:32,-53.15,-70.9167,57.31,54,40,23.02
66,Bredasdorp,ZA,1/23/2022 21:37,-34.5322,20.0403,68.29,77,50,9.64
67,Kerman,IR,1/23/2022 21:37,30.2832,57.0788,26.46,54,0,4.61
68,Ankazoabo,MG,1/23/2022 21:37,-22.2833,44.5167,76.01,65,68,12.73
69,Fortuna,US,1/23/2022 21:37,40.5982,-124.1573,70.93,43,0,1.99
70,Guerrero Negro,MX,1/23/2022 21:37,27.9769,-114.0611,66.92,37,73,6.38
71,Cangzhou,CN,1/23/2022 21:37,38.3167,116.8667,27.07,64,100,0.81
72,Krasnoselkup,RU,1/23/2022 21:37,65.7,82.4667,-18.94,100,100,4.07
73,Rosetta,EG,1/23/2022 21:37,31.4044,30.4164,51.75,76,98,20.98
74,Takoradi,GH,1/23/2022 21:36,4.8845,-1.7554,79.03,86,6,7.36
75,Thompson,CA,1/23/2022 21:37,55.7435,-97.8558,-7.44,64,0,8.05
76,Ust-Kuyga,RU,1/23/2022 21:37,70.0167,135.6,-18.06,100,100,6.51
77,Kavieng,PG,1/23/2022 21:37,-2.5744,150.7967,82.99,71,49,5.32
78,Singaraja,ID,1/23/2022 21:37,-8.112,115.0882,81.97,83,74,3.83
79,Tromso,NO,1/23/2022 21:32,69.6496,18.957,44.62,65,75,10
80,Kyaukse,MM,1/23/2022 21:37,21.6,96.1333,61.75,58,2,3.42
81,Bezerros,BR,1/23/2022 21:37,-8.2333,-35.7969,74.41,71,41,8.99
82,Bambous Virieux,MU,1/23/2022 21:37,-20.3428,57.7575,79.21,89,40,2.3
83,Adrar,MR,1/23/2022 21:37,20.5022,-10.0711,67.53,18,4,10.98
84,Kjollefjord,NO,1/23/2022 21:37,70.9457,27.3465,42.62,65,0,41.43
85,Baikunthpur,IN,1/23/2022 21:37,23.25,82.55,56.77,76,25,3.31
86,Te Anau,NZ,1/23/2022 21:37,-45.4167,167.7167,54.82,70,76,2.1
87,Phan Thiet,VN,1/23/2022 21:37,10.9333,108.1,70.84,89,6,4.29
88,Dikson,RU,1/23/2022 21:37,73.5069,80.5464,-9.65,100,100,17.18
89,Hermanus,ZA,1/23/2022 21:37,-34.4187,19.2345,68.81,96,43,6.58
90,Villa Carlos Paz,AR,1/23/2022 21:37,-31.4241,-64.4978,79.25,10,51,15.01
91,Huarmey,PE,1/23/2022 21:37,-10.0681,-78.1522,75,78,57,10.78
92,Bethel,US,1/23/2022 21:37,41.3712,-73.414,34.75,57,90,1.01
93,Chongwe,ZM,1/23/2022 21:34,-15.3292,28.682,61.09,94,3,1.34
94,Manicore,BR,1/23/2022 21:38,-5.8092,-61.3003,75.6,91,100,1.43
95,Sorland,NO,1/23/2022 21:38,67.667,12.6934,46.47,89,100,54.65
96,Barrow,US,1/23/2022 21:38,71.2906,-156.7887,-0.38,78,100,3.44
97,Buncrana,IE,1/23/2022 21:38,55.1333,-7.45,43.93,82,100,11.95
98,East London,ZA,1/23/2022 21:38,-33.0153,27.9116,73.24,76,0,21.18
99,Vaini,TO,1/23/2022 21:38,-21.2,-175.2,81.12,72,22,10.22
100,Nyurba,RU,1/23/2022 21:38,63.2842,118.3319,-6.95,98,86,6.17
101,Kaitangata,NZ,1/23/2022 21:38,-46.2817,169.8464,54.93,68,65,4.29
102,Bako,ET,1/23/2022 21:38,5.7833,36.5667,69.71,49,56,2.84
103,Hami,CN,1/23/2022 21:38,42.8,93.45,22.41,59,0,5.41
